id,PaperTitle,Year,Author,Publication,Url
233, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6jp9&sig=53d8FfDZ8cRjXA8vJU9AdNhjR58
234,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
235,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
236,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
237,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
238,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
239,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
240,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
241,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
242,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
243, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6kia&sig=EB9g_PsnCD-7M9e-BQ3jzSDT6V0
244,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
245,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
246,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
247,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
